39:[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]:[5382, 5383, 5384, 5385, 5053, 5387, 5388, 5389, 5390, 5192]
249:[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5388, 5389, 5099, 5391]
1454:[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5059, 5389, 5390, 5391]
106:[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]:[5382, 5383, 5384, 5049, 5386, 5387, 5388, 5065, 5390, 5391]
114:[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]:[5382, 5383, 5384, 5047, 5386, 5057, 5388, 5389, 5390, 5391]
3661:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]:[5382, 5383, 5043, 5385, 5386, 5387, 5388, 5389, 5390, 5391]
27406:[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5058, 5389, 5390, 5391]
52:[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5052, 5053, 5387, 5059, 5389, 5390, 5391]
10:[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]:[5382, 5383, 5384, 5385, 5386, 5387, 5058, 5062, 5390, 5201]
21:[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]:[387, 5383, 5384, 5385, 5386, 5387, 5058, 5389, 5390, 5391]
21:[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5388, 5389, 5130, 5391]
953:[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5385, 5054, 5387, 5059, 5389, 5390, 5391]
1347:[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5052, 5053, 5387, 5058, 5389, 5390, 5391]
12:[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]:[5382, 5383, 5384, 5052, 5386, 5056, 5058, 5389, 5390, 5186]
501:[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5385, 5053, 5387, 5059, 5389, 5390, 5391]
159:[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5388, 5066, 5390, 5391]
4669:[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]:[5382, 5383, 5384, 5052, 5386, 5387, 5388, 5389, 5390, 5391]
3815:[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5048, 5386, 5387, 5058, 5389, 5390, 5391]
15:[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]:[5382, 5383, 5042, 5385, 5386, 5387, 5388, 5389, 5390, 5177]
4753:[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]:[5382, 5383, 5384, 5385, 5386, 5056, 5388, 5389, 5390, 5391]
3424:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]:[5382, 5383, 5044, 5385, 5386, 5387, 5388, 5389, 5390, 5391]
3260:[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5044, 5385, 5386, 5387, 5058, 5389, 5390, 5391]
1638:[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]:[5382, 5383, 5384, 5385, 5053, 5056, 5388, 5389, 5390, 5391]
4458:[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5052, 5386, 5387, 5058, 5389, 5390, 5391]
1154:[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]:[5382, 5383, 5042, 5385, 5053, 5387, 5388, 5389, 5390, 5391]
27406:[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5058, 5389, 5390, 5391]
1127:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]:[5382, 5383, 5045, 5385, 5386, 5387, 5388, 5389, 5390, 5391]
19165:[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]:[5382, 5383, 5384, 5385, 5054, 5387, 5388, 5389, 5390, 5391]
27406:[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5058, 5389, 5390, 5391]
118:[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]:[5382, 5383, 5384, 5385, 5386, 5387, 5388, 5389, 5106, 5391]
